Task                                                                                               , Branch, Start  , Priority, Finish
Be able to get all collections in database                                                         , rag   , 5/28/26, High    , 5/29/26
Implement global-system-browser states for passing settings                                        , ui    , 5/28/26, High    , 5/29/26
Implement progress bar for file uploading                                                          , ui    , 5/28/26, Medium  , 6/3/26
Clear file upload area after file uploaded                                                         , ui    , 5/28/26, Medium  , 6/3/26
Find way to update Upload page Rule systems and textbox without adjusting accordion                , ui    , 5/29/26, Medium  , 5/30/26
Sort embedding modeles and language models                                                         , ui    , 5/29/26, Medium  , 5/29/26
Auto adjust overlap to be 10% of size automatically yet allow user to manually adjust later        , rag   , 5/29/26, Low     , 6/2/26
Find way to better display documents in Chat bot area                                              , ui    , 5/29/26, Low     , 
Add button for master database                                                                     , rag   , 5/29/26, Low     , 6/3/26
Add epub functionality to ingest pipline                                                           , rag   , 5/29/26, Medium  , 5/30/26
Make sure DB_of_Holding exists at runtime                                                          , rag   , 5/29/26, High    , 5/31/26
Update Env Test to include proper links to the libraries needed                                    , git   , 5/29/26, Low     , 5/31/26
Test docx ingestion                                                                                , rag   , 5/30/26, High    , 
Test csv ingestion                                                                                 , rag   , 5/30/26, High    , 
test txt ingestion                                                                                 , rag   , 5/30/26, High    , 
Test epub ingestion                                                                                , rag   , 5/30/26, High    , 6/4/26
Add metadata tags for documents                                                                    , rag   , 5/29/26, High    , 6/5/26
Add metadata to documents after ingestion                                                          , rag   , 5/30/26, Medium  , 6/6/26
Change yaml to env files                                                                           , git   , 5/30/26, Low     , 
Add advanced features to upload tab                                                                , ui    , 5/31/26, Medium  , 5/31/26
Make paths to additional databases optional                                                        , rag   , 5/31/26, Medium  , 5/31/26
Go through variables and declare them consistently throughout all pages                            , git   , 5/31/26, Medium  , 6/1/26
Reject unsuported documents                                                                        , rag   , 6/1/26 , Medium  , 6/3/26
Need to add all inputs/outputs for append stat list function calls - two are wrong                 , ui    , 6/2/26 , Low     , 6/2/26
Have log files route to specific files based on function call                                      , git   , 6/2/26 , Low     , 
Update README.md with more complete instructions on how to install                                 , git   , 6/3/26 , Medium  , 6/3/26
Find out why documents are no longer loading to database                                           , rag   , 6/3/26 , High    , 6/3/26
Find out why file upload section breaks after one upload                                           , ui    , 6/3/26 , High    , 6/3/26
Adjust default states in tabs to be the first choice in dropdown                                   , ui    , 6/4/26 , Low     , 6/5/26
Create log file/error handeling if user accidentally deletes database while Technomancer is running, git   , 6/4/26 , Low     , 
Odd issues when selecting embed model - cannot duplicate?                                          , ui    , 6/4/26 , Low     , 
Try uploading on multiple computers                                                                , rag   , 6/4/26 , Medium  , 6/4/26
Try uploading with different embeddings to same database                                           , rag   , 6/4/26 , High    , 6/4/26
Try querying from database with wrong embedding                                                    , rag   , 6/4/26 , High    , 6/4/26
Update Rule system list at both file upload and pressing enter on dd                               , ui    , 6/4/26 , High    , 6/4/26
Share states across tabs with updates across tabs                                                  , ui    , 6/4/26 , High    , 6/4/26
Find way to update and share rule system state across tabs                                         , ui    , 6/4/26 , Low     , 6/4/26
Be able to query information in database                                                           , rag   , 6/3/26 , High    , 6/4/26
Have technomancer cite sources                                                                     , rag   , 6/3/26 , Medium  , 6/6/26
Fix rule system drop down getting the whole list and not just one system                           , ui    , 6/4/26 , Medium  , 6/5/26
Add similarity score threshold for return query                                                    , rag   , 6/4/26 , Medium  , 6/6/26
Check user message for rule systems and metadata during query                                      , rag   , 6/4/26 , Medium  , 6/6/26
reimplement deletion of documents                                                                  , rag   , 6/4/26 , High    , 6/5/26
Add user loggin                                                                                    , ui    , 6/4/26 , Low     , 6/15/26
Reinitialize document list after deletion of a document                                            , ui    , 6/4/26 , Low     , 
Create new display branch seperate from master                                                     , git   , 6/4/26 , Low     , 6/15/26
Add textbox for embedding and language models being used and update when they change               , ui    , 6/4/26 , Medium  , 6/5/26
Add logging to file deletion to confirm file has been delete                                       , log   , 6/4/26 , High    , 6/5/26
Fix issues with avatar of chatbot and user                                                         , ui    , 6/5/26 , Low     , 
Display language and embedding models to user                                                      , ui    , 6/5/26 , High    , 6/5/26
Add counter for number of documents in Mangement accordion                                         , ui    , 6/5/26 , Medium  , 6/5/26
Add ability to adjust k in advanced featuers                                                       , ui    , 6/5/26 , Low     , 6/7/26
Update tag list inbeteen uses                                                                      , ui    , 6/5/26 , High    , 6/5/26
If user adds tags to a specific document get those to the master list                              , ui    , 6/6/26 , Low     , 
Get error for using wrong embedding to query database                                              , git   , 6/6/26 , Low     , 
Add ability to adjust score threshold in advanced features                                         , ui    , 6/6/26 , Low     , 6/7/26
Save k chunks and threshold in settings between uses                                               , ui    , 6/7/26 , Medium  , 6/7/26
Live stream log file(s) into new tab                                                               , log   , 6/7/26 , High    , 6/7/26
Prefix documents (add in ability to turn on or off)                                                , rag   , 6/7/26 , Medium  , 
Selectivly add metadata tags to documents                                                          , rag   , 6/7/26 , Medium  , 
Adjust to Docker                                                                                   , docker, 6/18/26, High    , 6/18/26
Have Rules and Tags lists be global across all users                                               , docker, 6/18/26, Low     , 6/18/26
Have language and embedding model lists but global across all users                                , docker, 6/18/26, Low     , 
